Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
916,5,0,0,0.5,0,0,0.5,5,0,0.017471144455214,-0.523236065669037,-0.016171012411849,-0.038551316290409,-0.481803925670503,0,0,0,0,0.017471144455214,-0.023236065669037,-0.016171012411849,-0.038551316290409,0.018196074329497,0,0,0,0
917,5,0,0,0.5,0,0,0.5,5,0,0.019469103875427,-0.524088247069319,-0.010010155594469,-0.044554565474773,-0.529825546971812,0,0,0,0,0.019469103875427,-0.024088247069319,-0.010010155594469,-0.044554565474773,-0.029825546971812,0,0,0,0
918,5,0,0,0.5,0,0,0.5,5,0,-0.001196263554986,-0.540228421615678,-0.006885774181661,-0.077287239546811,-0.487549553544364,0,0,0,0,-0.001196263554986,-0.040228421615678,-0.006885774181661,-0.077287239546811,0.012450446455636,0,0,0,0
919,5,0,0,0.5,0,0,0.5,5,0,0.031028028637384,-0.487339697202564,-0.011966375560933,-0.011834641145542,-0.548657851677736,0,0,0,0,0.031028028637384,0.012660302797436,-0.011966375560933,-0.011834641145542,-0.048657851677736,0,0,0,0
920,5,0,0,0.5,0,0,0.5,5,0,-0.005682861243026,-0.496333679185871,0.021169083230386,-0.008125522558319,-0.478037054117627,0,0,0,0,-0.005682861243026,0.003666320814129,0.021169083230386,-0.008125522558319,0.021962945882373,0,0,0,0
921,5,0,0,0.5,0,0,0.5,5,0,-0.019371402490268,-0.465677177600812,0.007616440029799,0.005114180931216,-0.515311443815495,0,0,0,0,-0.019371402490268,0.034322822399188,0.007616440029799,0.005114180931216,-0.015311443815496,0,0,0,0
922,5,0,0,0.5,0,0,0.5,5,0,0.019645473173648,-0.507243307078659,-0.001227708973633,-0.01348630297421,-0.530663316801006,0,0,0,0,0.019645473173648,-0.007243307078659,-0.001227708973633,-0.01348630297421,-0.030663316801006,0,0,0,0
923,5,0,0,0.5,0,0,0.5,5,0,0.030447077932471,-0.532523201752768,0.060116249259084,0.004084811478141,-0.461858971332904,0,0,0,0,0.030447077932471,-0.032523201752768,0.060116249259084,0.004084811478141,0.038141028667096,0,0,0,0
924,5,0,0,0.5,0,0,0.5,5,0,-0.033174587373699,-0.483386824344651,0.001412498187519,0.021549560854027,-0.455412063648326,0,0,0,0,-0.033174587373699,0.016613175655349,0.001412498187519,0.021549560854027,0.044587936351675,0,0,0,0
925,5,0,0,0.5,0,0,0.5,5,0,-0.038128507625447,-0.501722764065319,-0.027613910707667,0.023935318993672,-0.518163874226717,0,0,0,0,-0.038128507625447,-0.001722764065319,-0.027613910707667,0.023935318993672,-0.018163874226717,0,0,0,0
926,5,0,0,0.5,0,0,0.5,5,0,0.017354415155965,-0.508980004699573,0.06519091410815,0.018601730081549,-0.443406672129677,0,0,0,0,0.017354415155965,-0.008980004699573,0.06519091410815,0.018601730081549,0.056593327870323,0,0,0,0
927,5,0,0,0.5,0,0,0.5,5,0,0.006786772746971,-0.521505461774044,0.001757664005156,-0.004997819198492,-0.518054199420683,0,0,0,0,0.006786772746971,-0.021505461774044,0.001757664005156,-0.004997819198492,-0.018054199420683,0,0,0,0
928,5,0,0,0.5,0,0,0.5,5,0,-0.022180052408277,-0.480119423683213,-0.044300084275906,0.023525449982625,-0.534414390592213,0,0,0,0,-0.022180052408277,0.019880576316788,-0.044300084275906,0.023525449982625,-0.034414390592213,0,0,0,0
929,5,0,0,0.5,0,0,0.5,5,0,-0.003709054810359,-0.463077096476085,-0.005141471045094,0.047301228948091,-0.514072032783955,0,0,0,0,-0.003709054810359,0.036922903523915,-0.005141471045094,0.047301228948091,-0.014072032783955,0,0,0,0
930,5,0,0,0.5,0,0,0.5,5,0,-0.003644745650326,-0.491328001318881,0.008976027256931,0.051736274828444,-0.466167864518456,0,0,0,0,-0.003644745650326,0.00867199868112,0.008976027256931,0.051736274828444,0.033832135481544,0,0,0,0
931,5,0,0,0.5,0,0,0.5,5,0,0.024105182270998,-0.445985213210866,0.013137569654183,0.010058191752223,-0.515318741084515,0,0,0,0,0.024105182270998,0.054014786789134,0.013137569654183,0.010058191752223,-0.015318741084515,0,0,0,0
932,5,0,0,0.5,0,0,0.5,5,0,-0.063262081813214,-0.444775257772204,-0.049943954939361,0.041989118099364,-0.528120987516921,0,0,0,0,-0.063262081813214,0.055224742227796,-0.049943954939361,0.041989118099364,-0.028120987516921,0,0,0,0
933,5,0,0,0.5,0,0,0.5,5,0,-0.006412190120516,-0.474862473538071,0.009451519192644,-0.003734934140314,-0.471533860434547,0,0,0,0,-0.006412190120516,0.025137526461929,0.009451519192644,-0.003734934140314,0.028466139565453,0,0,0,0
934,5,0,0,0.5,0,0,0.5,5,0,0.011887925367347,-0.509437049343906,-0.055012551370043,-0.004356978028617,-0.498335257246224,0,0,0,0,0.011887925367347,-0.009437049343906,-0.055012551370043,-0.004356978028617,0.001664742753776,0,0,0,0
935,5,0,0,0.5,0,0,0.5,5,0,-0.042787360264063,-0.474922272668697,0.002763014117993,0.022518333174297,-0.478557380724785,0,0,0,0,-0.042787360264063,0.025077727331303,0.002763014117993,0.022518333174297,0.021442619275215,0,0,0,0
936,5,0,0,0.5,0,0,0.5,5,0,-0.019579915987553,-0.479928505958306,-0.018131589765524,0.028737854876351,-0.531217757924481,0,0,0,0,-0.019579915987553,0.020071494041694,-0.018131589765524,0.028737854876351,-0.031217757924481,0,0,0,0
937,5,0,0,0.5,0,0,0.5,5,0,-0.030721435619471,-0.455494274507638,0.010861338846981,0.025687698809593,-0.505832818248302,0,0,0,0,-0.030721435619471,0.044505725492363,0.010861338846981,0.025687698809593,-0.005832818248302,0,0,0,0
938,5,0,0,0.5,0,0,0.5,5,0,-0.034677094099298,-0.464881292338939,0.010249992834694,0.039854516474571,-0.456005474226949,0,0,0,0,-0.034677094099298,0.035118707661061,0.010249992834694,0.039854516474571,0.043994525773051,0,0,0,0
939,5,0,0,0.5,0,0,0.5,5,0,0.014050675835921,-0.482582527467739,0.03422610341794,-0.012907257384528,-0.488289243993738,0,0,0,0,0.014050675835921,0.017417472532262,0.03422610341794,-0.012907257384528,0.011710756006262,0,0,0,0
940,5,0,0,0.5,0,0,0.5,5,0,-0.018673778821236,-0.535983694866769,-0.031821355638301,-0.04468167077043,-0.497711394087139,0,0,0,0,-0.018673778821236,-0.035983694866769,-0.031821355638301,-0.04468167077043,0.002288605912861,0,0,0,0
941,5,0,0,0.5,0,0,0.5,5,0,-0.007048255521715,-0.486510536933287,0.001118932641779,0.017174863870886,-0.472580972815442,0,0,0,0,-0.007048255521715,0.013489463066713,0.001118932641779,0.017174863870886,0.027419027184558,0,0,0,0
942,5,0,0,0.5,0,0,0.5,5,0,0.019350980128883,-0.53216484446061,-0.064034560851087,-0.076090000401953,-0.564232536206257,0,0,0,0,0.019350980128883,-0.03216484446061,-0.064034560851087,-0.076090000401953,-0.064232536206257,0,0,0,0
943,5,0,0,0.5,0,0,0.5,5,0,0.003849412050924,-0.481353422352963,-0.039783424588359,-0.019806487220639,-0.502681909287863,0,0,0,0,0.003849412050924,0.018646577647037,-0.039783424588359,-0.019806487220639,-0.002681909287863,0,0,0,0
944,5,0,0,0.5,0,0,0.5,5,0,0.021111963537037,-0.50698636489511,0.056549590505478,-0.003731940427491,-0.470195800471649,0,0,0,0,0.021111963537037,-0.00698636489511,0.056549590505478,-0.003731940427491,0.029804199528351,0,0,0,0
