Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
160,3,0,0,0.2,0.8,3,0,0.000430319048935,-0.20696349461763,-0.792298936148939,0,0,0,0,0.000430319048935,-0.00696349461763,0.007701063851061,0,0,0,0
161,3,0,0,0.2,0.8,3,0,-0.005652027405571,-0.209895433555484,-0.780894158872168,0,0,0,0,-0.005652027405571,-0.009895433555484,0.019105841127832,0,0,0,0
162,3,0,0,0.2,0.8,3,0,-0.020559115914613,-0.211729345297807,-0.808858171909903,0,0,0,0,-0.020559115914613,-0.011729345297807,-0.008858171909903,0,0,0,0
163,3,0,0,0.2,0.8,3,0,-0.008116644548284,-0.224432156442292,-0.806766702853594,0,0,0,0,-0.008116644548284,-0.024432156442292,-0.006766702853594,0,0,0,0
164,3,0,0,0.2,0.8,3,0,-0.038252546229666,-0.19113906188167,-0.837189471023717,0,0,0,0,-0.038252546229666,0.00886093811833,-0.037189471023717,0,0,0,0
165,3,0,0,0.2,0.8,3,0,-0.009041129073168,-0.21031423911009,-0.795015383269973,0,0,0,0,-0.009041129073168,-0.01031423911009,0.004984616730027,0,0,0,0
166,3,0,0,0.2,0.8,3,0,0.020275717587727,-0.222609376119732,-0.796217967307812,0,0,0,0,0.020275717587727,-0.022609376119732,0.003782032692188,0,0,0,0
167,3,0,0,0.2,0.8,3,0,0.030953668910101,-0.211145467012821,-0.782071270647291,0,0,0,0,0.030953668910101,-0.011145467012822,0.017928729352709,0,0,0,0
168,3,0,0,0.2,0.8,4,0,-0.117157044347697,-0.216393105981794,-0.829548025969051,-0.08445747773073,0,0,0,-0.117157044347697,-0.016393105981794,-0.029548025969051,-0.08445747773073,0,0,0
169,3,0,0,0.2,0.8,3,0,0.005415190979187,-0.179721326191733,-0.807600678885829,0,0,0,0,0.005415190979187,0.020278673808267,-0.007600678885829,0,0,0,0
170,3,0,0,0.2,0.8,5,2,0.055290865367949,-1.17152635080166,-0.813156509652043,-0.127848853835534,-0.815101218874061,-0.081049359378233,0.988271296146545,0.055290865367949,-0.97152635080166,-0.013156509652043,-0.127848853835534,-0.815101218874061,0.081049359378233,-0.988271296146545
171,3,0,0,0.2,0.8,3,0,0.011844421078017,-0.183741496392695,-0.800746376205506,0,0,0,0,0.011844421078017,0.016258503607305,-0.000746376205506,0,0,0,0
172,3,0,0,0.2,0.8,3,0,0.044199245691741,-0.228502257512286,-0.759920527867566,0,0,0,0,0.044199245691741,-0.028502257512286,0.040079472132435,0,0,0,0
173,3,0,0,0.2,0.8,3,0,0.012428493515914,-0.222877606177611,-0.794003666551345,0,0,0,0,0.012428493515914,-0.022877606177611,0.005996333448655,0,0,0,0
174,3,0,0,0.2,0.8,3,0,-0.00893858788082,-0.220304563602245,-0.792841486356562,0,0,0,0,-0.00893858788082,-0.020304563602245,0.007158513643438,0,0,0,0
