Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,MA 5-lag Coeff,MA 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Fitted MA 7-lag Coeff,Fitted MA 8-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff,Diff in MA 7-lag Coeff,Diff in MA 8-lag Coeff
333,0,6,0,0,0.4,0,0.3,0.3,0,7,0,0,-0.07183257456849917,0.04062142107503342,0.4294257349560145,-0.10841194106679732,0.3457938068878253,0.26890750044294837,-0.09253052749246114,0,0,0,-0.07183257456849917,0.04062142107503342,0.8294257349560146,-0.10841194106679732,0.6457938068878253,0.5689075004429484,-0.09253052749246114,0
334,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.0017159602005266672,-0.005034872487988548,0.38939473056803864,0.01582835597093895,0.2703735076534899,0.3006412366837748,0,0,0,0,-0.0017159602005266672,-0.005034872487988548,0.7893947305680387,0.01582835597093895,0.5703735076534899,0.6006412366837748,0,0
335,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.00417089422878017,-0.03664296727337063,0.3982372183451641,0.024227038167545456,0.3005471362659054,0.30263256366224756,0,0,0,0,-0.00417089422878017,-0.03664296727337063,0.7982372183451641,0.024227038167545456,0.6005471362659054,0.6026325636622476,0,0
336,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.025089380592170862,0.05470243024759368,0.3604393097618515,0.022547304773328287,0.3100111405675344,0.27236740328857,0,0,0,0,-0.025089380592170862,0.05470243024759368,0.7604393097618516,0.022547304773328287,0.6100111405675344,0.5723674032885699,0,0
337,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.02351962918871066,0.01827428474633056,0.3912623347571724,-0.002222490766858626,0.3152219524493065,0.2737384546727755,0,0,0,0,-0.02351962918871066,0.01827428474633056,0.7912623347571724,-0.002222490766858626,0.6152219524493066,0.5737384546727755,0,0
338,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.04077474822629147,-0.027297618269988076,0.43528431950937685,0.03084576933977859,0.30309555787630627,0.3276149848452903,0,0,0,0,0.04077474822629147,-0.027297618269988076,0.8352843195093769,0.03084576933977859,0.6030955578763062,0.6276149848452903,0,0
339,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.008889944400883282,-0.025972352948487116,0.3898310931930921,-0.00466759707979432,0.3037706440522241,0.2650693517318257,0,0,0,0,-0.008889944400883282,-0.025972352948487116,0.7898310931930921,-0.00466759707979432,0.6037706440522241,0.5650693517318257,0,0
340,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.024258703498437048,-0.023069364646435914,0.3314615390734965,0.06181835323925297,0.3113089193711314,0.22631323216308427,0,0,0,0,-0.024258703498437048,-0.023069364646435914,0.7314615390734965,0.06181835323925297,0.6113089193711314,0.5263132321630842,0,0
341,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.02321636075596594,0.03802823883966786,0.44405766846607403,0.0060203038899824535,0.2867824680846748,0.2796987361054262,0,0,0,0,0.02321636075596594,0.03802823883966786,0.8440576684660741,0.0060203038899824535,0.5867824680846747,0.5796987361054262,0,0
342,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.027486472080141072,-0.020370915751271576,0.3896023096364218,-0.01676325542994106,0.3079148509946008,0.32199775788889873,0,0,0,0,-0.027486472080141072,-0.020370915751271576,0.7896023096364218,-0.01676325542994106,0.6079148509946009,0.6219977578888987,0,0
343,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.024469049279301477,0.02347204592126035,0.4223783361779613,-0.0542639283200142,0.2778918113227864,0.30583130523434177,0,0,0,0,-0.024469049279301477,0.02347204592126035,0.8223783361779613,-0.0542639283200142,0.5778918113227864,0.6058313052343418,0,0
344,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.050692150354438796,-0.005597348108590541,0.4203096700955309,-0.002580036148848473,0.31103420858037173,0.3023359664158515,0,0,0,0,0.050692150354438796,-0.005597348108590541,0.8203096700955309,-0.002580036148848473,0.6110342085803717,0.6023359664158514,0,0
345,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.027332281996270857,0.03400557985622336,0.42545710634702555,-0.031265731873478766,0.2880306483141528,0.32145029049974677,0,0,0,0,-0.027332281996270857,0.03400557985622336,0.8254571063470255,-0.031265731873478766,0.5880306483141529,0.6214502904997468,0,0
346,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.03447302070924588,0.020482751833173322,0.3509607344470934,0.023954765303515552,0.34041922598916186,0.27759099331627596,0,0,0,0,-0.03447302070924588,0.020482751833173322,0.7509607344470934,0.023954765303515552,0.6404192259891619,0.577590993316276,0,0
347,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.028367470598561165,-0.0220469587735785,0.4104259951771691,0.014063751582791582,0.2839358824885346,0.3454523003344341,0,0,0,0,0.028367470598561165,-0.0220469587735785,0.8104259951771691,0.014063751582791582,0.5839358824885346,0.6454523003344341,0,0
348,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.07311545430161283,0.030879805758650066,0.46659469998747793,-0.024392800970559687,0.2636723455930485,0.3427495770183954,0,0,0,0,0.07311545430161283,0.030879805758650066,0.866594699987478,-0.024392800970559687,0.5636723455930485,0.6427495770183954,0,0
349,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.012210457857205273,0.01249756066654692,0.40038674166080035,-0.002709739033719817,0.3141038829395686,0.2925467653510902,0,0,0,0,0.012210457857205273,0.01249756066654692,0.8003867416608004,-0.002709739033719817,0.6141038829395686,0.5925467653510902,0,0
350,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.062176393656997855,-0.035810266326266826,0.38530917298042233,-0.013078207745439692,0.2832423896652184,0.2804668404766504,0,0,0,0,-0.062176393656997855,-0.035810266326266826,0.7853091729804224,-0.013078207745439692,0.5832423896652184,0.5804668404766504,0,0
351,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.006895864138227056,-0.030818988925438703,0.39183856051746113,-0.040499399594193956,0.27950260327692966,0.3008933375645099,0,0,0,0,0.006895864138227056,-0.030818988925438703,0.7918385605174612,-0.040499399594193956,0.5795026032769297,0.6008933375645099,0,0
352,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.06668632705068722,0.03458055538029123,0.4162451096282445,-0.018826619339931083,0.3222339774496298,0.36044106720942465,0,0,0,0,0.06668632705068722,0.03458055538029123,0.8162451096282446,-0.018826619339931083,0.6222339774496297,0.6604410672094246,0,0
